Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
KUB,Williams,23.0,123.23100000000001,2.0,HARD,1.0,19.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,21.221112450490786
KUB,Williams,34.0,117.831,3.0,MEDIUM,1.0,19.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.291200275529533
GIO,Alfa Romeo,19.0,117.415,2.0,HARD,1.0,16.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,20.219562596865853
GIO,Alfa Romeo,50.0,114.24000000000001,3.0,SOFT,1.0,16.0,2019,Japan,False,3,5.807,4,3.0,2.0,3.0,3,5,4,5,19.6728086791803
HAM,Mercedes,12.0,119.343,2.0,MEDIUM,1.0,1.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,35.7635600839077
VET,Ferrari,12.0,112.768,2.0,HARD,1.0,3.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,33.793227449805215
BOT,Mercedes,12.0,126.558,2.0,MEDIUM,1.0,4.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,37.925681750074915
BOT,Mercedes,13.0,100.747,3.0,HARD,1.0,4.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,30.190890020976923
VER,Red Bull Racing,12.0,112.233,2.0,HARD,1.0,2.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,33.632903805813605
GAS,Red Bull Racing,28.0,82.48400000000001,2.0,MEDIUM,1.0,9.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.71801018879233
GAS,Red Bull Racing,63.0,81.70400000000001,3.0,SOFT,4.0,5.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.484267305963442
SAI,McLaren,31.0,79.95700000000001,2.0,MEDIUM,1.0,9.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,23.96074318249925
KVY,AlphaTauri,33.0,81.712,2.0,MEDIUM,1.0,9.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.48666466886425
ALB,AlphaTauri,41.0,78.355,2.0,MEDIUM,1.0,9.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,23.480671261612226
RIC,Alpine,12.0,101.71000000000001,2.0,MEDIUM,1.0,13.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,30.479472580161822
GRO,Haas F1 Team,51.0,80.62100000000001,2.0,MEDIUM,1.0,9.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.159724303266408
NOR,McLaren,48.0,79.989,2.0,SOFT,1.0,11.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,23.970332634102487
PER,Aston Martin,12.0,93.15400000000001,2.0,HARD,1.0,17.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,27.91549295774648
HUL,Alpine,10.0,96.009,2.0,HARD,1.0,18.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,28.771051842972728
MAG,Haas F1 Team,12.0,100.944,2.0,MEDIUM,1.0,14.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,30.249925082409348
RUS,Williams,11.0,105.40400000000001,2.0,HARD,1.0,19.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,31.58645489961043
STR,Aston Martin,40.0,80.583,1.0,MEDIUM,40.0,18.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.14833682948756
RAI,Alfa Romeo,47.0,85.226,2.0,MEDIUM,1.0,17.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,25.539706323044648
KUB,Williams,22.0,82.977,2.0,HARD,1.0,19.0,2019,Monaco,False,7,3.337,1,5.0,2.0,5.0,1,1,5,1,24.86574767755469
