Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,IsAccurate,Unnamed: 0,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
STR,Aston Martin,20.0,106.051,1.0,MEDIUM,20.0,10.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.45532929737663
STR,Aston Martin,44.0,105.046,2.0,HARD,24.0,11.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.270959456980375
MAG,Haas F1 Team,9.0,105.444,1.0,SOFT,12.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.34397358282884
MAG,Haas F1 Team,33.0,105.049,2.0,HARD,24.0,13.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.2715098147129
SAI,McLaren,36.0,105.35600000000001,2.0,HARD,35.0,12.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.327829756008075
GIO,Alfa Romeo,7.0,106.70100000000001,1.0,SOFT,7.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.574573472757294
GIO,Alfa Romeo,30.0,106.572,2.0,MEDIUM,23.0,15.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.55090809025867
RUS,Williams,22.0,107.46700000000001,1.0,MEDIUM,22.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.71509814712897
RUS,Williams,49.0,107.069,2.0,HARD,27.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.6420840212805
KUB,Williams,26.0,108.0,1.0,MEDIUM,26.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.812878370941114
NOR,McLaren,17.0,107.516,2.0,HARD,16.0,19.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.724087323426897
NOR,McLaren,34.0,104.551,3.0,MEDIUM,18.0,18.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.18015043111356
NOR,McLaren,50.0,105.912,4.0,SOFT,16.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.42982938910292
KVY,AlphaTauri,7.0,106.599,1.0,MEDIUM,7.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.555861309851405
KVY,AlphaTauri,25.0,105.95400000000001,2.0,MEDIUM,25.0,14.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.437534397358284
KVY,AlphaTauri,30.0,102.94000000000001,3.0,HARD,5.0,16.0,2019,China,False,4,5.451,3,,,,3,4,2,4,18.88460832874702
KVY,AlphaTauri,41.0,107.185,4.0,SOFT,11.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.66336452027151
HUL,Alpine,11.0,105.97500000000001,1.0,SOFT,14.0,10.0,2019,China,False,4,5.451,3,,,,3,4,2,4,19.44138690148597
HUL,Alpine,16.0,109.543,2.0,HARD,5.0,17.0,2019,China,False,4,5.451,3,,,,3,4,2,4,20.09594569803706
GAS,Red Bull Racing,37.0,107.17500000000001,1.0,MEDIUM,37.0,10.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.30598711633195
PER,Aston Martin,13.0,110.063,1.0,SOFT,16.0,16.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.85316407730201
LEC,Ferrari,28.0,107.72900000000001,1.0,SOFT,31.0,5.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.410951117847674
STR,Aston Martin,27.0,107.48800000000001,1.0,MEDIUM,27.0,10.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.365289882531265
MAG,Haas F1 Team,14.0,108.686,1.0,SOFT,17.0,11.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.592269799166353
ALB,AlphaTauri,14.0,108.191,1.0,SOFT,14.0,15.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.498484274346346
KVY,AlphaTauri,26.0,107.022,1.0,MEDIUM,26.0,11.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.276998863205762
HUL,Alpine,13.0,107.60400000000001,1.0,SOFT,13.0,14.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.387267904509287
RIC,Alpine,29.0,,2.0,HARD,28.0,17.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,
VER,Red Bull Racing,25.0,105.97000000000001,1.0,SOFT,28.0,4.0,2019,Australia,False,2,5.278,2,2.0,2.0,4.0,3,3,3,3,20.07768093974991
